transaction_id,transaction_date,posting_date,currency,amount,transaction_type,category,sub_category,counterparty,payment_method,department,cost_center,transaction_status, invoice_id,due_date,settlement_date,expense
1,20-09-2023,11-04-2023,IDR,103153.24,Income,Operations,Rent,Divape,UPI,Support,CC-867 ,Posted,INV-43294,24-07-2023,21-01-2025,0
2,21-10-2023,09-06-2024,THB,18098.84,Expense,Operations,Logistics,Feedmix,Cash,Research and Development,CC-763 ,Posted,INV-42108,28-04-2023,23-01-2023,0
3,18-08-2024,14-04-2024,THB,182595.71,Expense,Technology,Advertising,Tagfeed,Debit Card,Services,CC-255 ,Posted,INV-11656,25-05-2024,12-08-2023,0
4,19-03-2024,30-03-2024,IRR,0,Transfer,Administration,Salaries,Zoomlounge,UPI,Human Resources,CC-064 ,Reversed,INV-17107,20-02-2024,21-02-2025,14065.47
5,27-09-2024,23-02-2024,PLN,88570.59,Expense,Technology,Software Subscriptions,Photobug,Debit Card,Legal,CC-296 ,Failed,INV-23257,02-11-2024,08-10-2024,0
6,11-06-2023,02-05-2024,COP,205.84,Expense,Operations,Cloud Services,Yotz,Bank Transfer,Marketing,CC-600 ,Pending,INV-21050,15-02-2024,20-05-2023,0
7,08-06-2023,29-08-2023,USD,41891.06,Transfer,Sales,Rent,Demimbu,Bank Transfer,Engineering,CC-069 ,Pending,INV-84758,15-01-2024,07-12-2023,0
8,15-03-2023,22-01-2023,IDR,109846.44,Transfer,Operations,Rent,Realblab,UPI,Legal,CC-897 ,Failed,INV-45840,14-09-2023,07-07-2024,0
9,03-01-2023,30-03-2024,USD,133610.43,Expense,Sales,Cloud Services,Tagpad,Bank Transfer,Engineering,CC-393 ,Reversed,INV-89570,25-10-2023,25-03-2023,0
10,02-04-2023,26-12-2024,EUR,34226.97,Income,Operations,Rent,Meeveo,Cash,Human Resources,CC-773 ,Failed,INV-50699,07-05-2023,07-10-2023,0
11,07-03-2023,14-08-2024,PEN,155045.32,Transfer,Operations,Logistics,Shuffletag,Debit Card,Human Resources,CC-755 ,Posted,INV-22361,14-01-2025,03-12-2023,0
12,29-01-2024,,IDR,33915.21,Transfer,Operations,Rent,Thoughtstorm,Cash,Legal,CC-481 ,Pending,INV-40888,22-05-2023,11-11-2024,0
13,19-07-2023,,CNY,7447.13,Expense,Technology,Rent,Trupe,Bank Transfer,Accounting,CC-577 ,Failed,INV-16077,01-05-2023,04-01-2024,0
14,03-09-2024,18-02-2023,AFN,35276.32,Transfer,Administration,Cloud Services,Talane,Debit Card,Research and Development,CC-253 ,Failed,INV-63027,25-05-2023,13-02-2023,0
15,20-06-2024,,IDR,103831.35,Expense,Sales,Cloud Services,Eadel,UPI,Marketing,CC-108 ,Failed,INV-49336,13-09-2024,11-12-2023,0
