transaction_id,transaction_date,posting_date,currency,amount,transaction_type,category,sub_category,counterparty,payment_method,department,cost_center,transaction_status, invoice_id,due_date,settlement_date
1,20-09-2023,11-04-2023,IDR,$103153.24,Income,Operations,Rent,Divape,UPI,Support,CC-867 ,Posted,INV-43294,7/24/2023,1/21/2025
2,21-10-2023,09-06-2024,THB,$18098.84,Expense,Operations,Logistics,Feedmix,Cash,Research and Development,CC-763 ,Posted,INV-42108,4/28/2023,1/23/2023
3,18-08-2024,14-04-2024,THB,$182595.71,Expense,Technology,Advertising,Tagfeed,Debit Card,Services,CC-255 ,Posted,INV-11656,5/25/2024,08-12-2023
4,19-03-2024,30-03-2024,IRR,$-14065.47,Transfer,Administration,Salaries,Zoomlounge,UPI,Human Resources,CC-064 ,Reversed,INV-17107,2/20/2024,2/21/2025
5,27-09-2024,23-02-2024,PLN,$88570.59,Expense,Technology,Software Subscriptions,Photobug,Debit Card,Legal,CC-296 ,Failed,INV-23257,02-11-2024,10-08-2024
6,11-06-2023,02-05-2024,COP,$205.84,Expense,Operations,Cloud Services,Yotz,Bank Transfer,Marketing,CC-600 ,Pending,INV-21050,2/15/2024,5/20/2023
7,08-06-2023,29-08-2023,USD,$41891.06,Transfer,Sales,Rent,Demimbu,Bank Transfer,Engineering,CC-069 ,Pending,INV-84758,1/15/2024,12-07-2023
8,15-03-2023,22-01-2023,IDR,$109846.44,Transfer,Operations,Rent,Realblab,UPI,Legal,CC-897 ,Failed,INV-45840,9/14/2023,07-07-2024
9,03-01-2023,30-03-2024,USD,$133610.43,Expense,Sales,Cloud Services,Tagpad,Bank Transfer,Engineering,CC-393 ,Reversed,INV-89570,10/25/2023,3/25/2023
10,02-04-2023,26-12-2024,EUR,$34226.97,Income,Operations,Rent,Meeveo,Cash,Human Resources,CC-773 ,Failed,INV-50699,07-05-2023,10-07-2023
11,07-03-2023,14-08-2024,PEN,$155045.32,Transfer,Operations,Logistics,Shuffletag,Debit Card,Human Resources,CC-755 ,Posted,INV-22361,1/14/2025,12-03-2023
12,29-01-2024,,IDR,$33915.21,Transfer,Operations,Rent,Thoughtstorm,Cash,Legal,CC-481 ,Pending,INV-40888,5/22/2023,11-11-2024
13,19-07-2023,,CNY,$7447.13,Expense,Technology,Rent,Trupe,Bank Transfer,Accounting,CC-577 ,Failed,INV-16077,01-05-2023,01-04-2024
14,03-09-2024,18-02-2023,AFN,$35276.32,Transfer,Administration,Cloud Services,Talane,Debit Card,Research and Development,CC-253 ,Failed,INV-63027,5/25/2023,2/13/2023
15,20-06-2024,,IDR,$103831.35,Expense,Sales,Cloud Services,Eadel,UPI,Marketing,CC-108 ,Failed,INV-49336,9/13/2024,12-11-2023
16,08-08-2024,30-08-2023,RUB,$8969.37,Expense,Technology,Cloud Services,Rhynyx,Bank Transfer,Research and Development,CC-898 ,Pending,INV-96615,4/29/2024,7/29/2023
17,14-06-2023,05-08-2023,PLN,$4542.56,Transfer,Operations,Salaries,Centimia,Bank Transfer,Sales,CC-653 ,Reversed,INV-46259,8/27/2024,10/18/2023
18,28-10-2023,18-06-2023,IDR,$185434.31,Expense,Payroll,Advertising,Avamm,Debit Card,Business Development,CC-943 ,Pending,INV-04674,7/25/2023,8/18/2024
19,11-06-2023,20-08-2023,PHP,$72811.72,Expense,Marketing,Logistics,Miboo,Debit Card,Human Resources,CC-725 ,Posted,INV-86721,11-09-2024,04-02-2024
20,17-11-2023,09-02-2023,EUR,$59367.67,Expense,Marketing,Software Subscriptions,Trunyx,Cash,Human Resources,CC-180 ,Failed,INV-84198,09-09-2023,08-01-2023
21,22-01-2024,18-08-2024,PEN,$-43805.82,Expense,Sales,Logistics,Feedfire,Debit Card,Engineering,CC-995 ,Posted,INV-72402,03-11-2023,1/15/2024
22,21-12-2023,16-07-2023,PHP,$-1559.61,Expense,Sales,Rent,Wordware,Debit Card,Human Resources,CC-807 ,Reversed,INV-32045,5/29/2024,2/19/2025
23,03-07-2023,02-07-2023,IDR,$171976.51,Expense,Marketing,Software Subscriptions,Quire,Debit Card,Business Development,CC-244 ,Pending,INV-36728,1/31/2023,3/20/2025
24,16-07-2023,,IDR,$33413.90,Transfer,Operations,Cloud Services,Skidoo,Bank Transfer,Human Resources,CC-734 ,Pending,INV-97486,9/23/2023,03-04-2023
25,30-01-2023,26-05-2024,COP,$135471.14,Income,Operations,Salaries,Trilith,Cash,Business Development,CC-160 ,Posted,INV-30629,2/24/2023,03-05-2025
26,12-06-2024,25-02-2023,IDR,$-3349.75,Expense,Payroll,Rent,Myworks,Bank Transfer,Training,CC-629 ,Reversed,INV-71614,10-01-2024,08-04-2024
27,01-04-2023,08-10-2023,RUB,$-45737.88,Expense,Sales,Cloud Services,Aibox,Credit Card,Accounting,CC-159 ,Reversed,INV-39059,9/18/2023,4/28/2024
28,14-07-2024,27-02-2023,RUB,$7151.25,Income,Administration,Logistics,Quamba,Debit Card,Marketing,CC-660 ,Pending,INV-63527,1/23/2023,7/25/2024
29,02-10-2023,03-01-2023,XOF,$132430.84,Income,Operations,Cloud Services,Kamba,Debit Card,Engineering,CC-181 ,Pending,INV-06361,01-08-2023,11/15/2024
30,24-07-2023,12-02-2024,CNY,$-9031.31,Income,Administration,Cloud Services,Gabcube,UPI,Training,CC-130 ,Pending,INV-76081,11/25/2023,02-09-2023
31,08-03-2024,,CNY,$3375.11,Transfer,Administration,Cloud Services,Mymm,Credit Card,Human Resources,CC-124 ,Posted,INV-57410,09-07-2024,1/14/2024
32,13-04-2024,08-03-2024,EUR,$76870.34,Expense,Marketing,Advertising,Mybuzz,Cash,Services,CC-467 ,Reversed,INV-96840,02-12-2024,3/21/2024
33,07-07-2023,04-01-2024,KRW,$146468.30,Transfer,Operations,Rent,Dabjam,Cash,Research and Development,CC-392 ,Reversed,INV-93770,9/28/2024,10-04-2024
34,20-10-2024,10-09-2023,EUR,$92121.64,Transfer,Administration,Salaries,Realbridge,Debit Card,Training,CC-824 ,Reversed,INV-36901,01-07-2025,08-11-2023
35,15-11-2024,23-01-2023,PEN,$59138.03,Transfer,Payroll,Rent,Blogspan,Credit Card,Marketing,CC-891 ,Posted,INV-32324,01-10-2025,6/18/2023
36,22-11-2023,18-11-2024,USD,$177009.98,Transfer,Marketing,Cloud Services,Zooxo,Cash,Product Management,CC-188 ,Reversed,INV-54707,6/30/2024,5/29/2023
37,01-01-2024,25-10-2024,EGP,$-13846.79,Income,Payroll,Advertising,Lazzy,Cash,Training,CC-921 ,Failed,INV-65585,7/18/2023,8/18/2024
38,01-05-2023,18-05-2024,PEN,$65352.11,Income,Technology,Rent,Aimbu,UPI,Support,CC-383 ,Pending,INV-83910,12-12-2024,6/22/2023
39,14-02-2023,18-08-2023,MMK,$-22325.66,Expense,Operations,Rent,Nlounge,UPI,Product Management,CC-484 ,Pending,INV-91645,4/29/2024,2/20/2025
40,30-05-2023,09-02-2024,UAH,$61778.28,Income,Sales,Cloud Services,Tazzy,Debit Card,Accounting,CC-269 ,Failed,INV-09754,8/21/2024,10-04-2024
41,25-10-2024,13-07-2024,MXN,$31133.69,Expense,Sales,Cloud Services,Buzzdog,Cash,Support,CC-513 ,Posted,INV-79290,3/23/2024,05-08-2023
42,07-07-2024,03-03-2023,PHP,$-7776.46,Transfer,Payroll,Advertising,Photobug,Cash,Business Development,CC-010 ,Pending,INV-46942,11-09-2024,03-07-2025
